round,local_updates,examples_processed,train_loss,train_accuracy,drift,grad_norm,selected_clients,aggregation_weights,client_losses,client_accuracies,seed,hard_k
5,125,8000,0.5176747550964356,0.845,,,"[0, 1]","[0.5, 0.5]","[0.5138814676920573, 0.5214680425008138]","[0.8468, 0.8432]",0,20
6,150,9600,0.3781568072001139,0.8952,,,"[0, 1]","[0.5, 0.5]","[0.37666109670003256, 0.3796525177001953]","[0.897, 0.8934]",0,20
7,175,11200,0.36181815465291345,0.8976999999999999,,,"[0, 1]","[0.5, 0.5]","[0.36109563852945964, 0.3625406707763672]","[0.8981333333333333, 0.8972666666666667]",0,20
8,200,12800,0.3009989074707031,0.9167333333333334,,,"[0, 1]","[0.5, 0.5]","[0.30129671020507814, 0.3007011047363281]","[0.9161333333333334, 0.9173333333333333]",0,20
9,225,14400,0.27437274570465087,0.9188666666666667,,,"[0, 1]","[0.5, 0.5]","[0.273689559173584, 0.2750559322357178]","[0.9179333333333334, 0.9198]",0,20
10,250,16000,0.25951129315694177,0.9226666666666666,,,"[0, 1]","[0.5, 0.5]","[0.25812991027832033, 0.26089267603556315]","[0.9236666666666666, 0.9216666666666666]",0,20
11,275,17600,0.22984996865590412,0.9321666666666667,,,"[0, 1]","[0.5, 0.5]","[0.23074146575927734, 0.22895847155253093]","[0.9311333333333334, 0.9332]",0,20
12,300,19160,0.2198457602818807,0.9335,,,"[0, 1]","[0.5, 0.5]","[0.22103559951782226, 0.21865592104593912]","[0.9332, 0.9338]",0,20
13,325,20760,0.20431532713572184,0.9419666666666666,,,"[0, 1]","[0.5, 0.5]","[0.20302087148030598, 0.2056097827911377]","[0.9426, 0.9413333333333334]",0,20
14,350,22360,0.21232152620951333,0.9354333333333333,,,"[0, 1]","[0.5, 0.5]","[0.21341494369506836, 0.21122810872395834]","[0.9347333333333333, 0.9361333333333334]",0,20
15,375,23960,0.18287945226033528,0.9464,,,"[0, 1]","[0.5, 0.5]","[0.18325422083536783, 0.18250468368530273]","[0.9466, 0.9462]",0,20
16,400,25560,0.1883854820251465,0.9430000000000001,,,"[0, 1]","[0.5, 0.5]","[0.18737230224609375, 0.18939866180419923]","[0.9438, 0.9422]",0,20
